"id_emprestimo";"codigo_barras";"data_renovacao";"data_emprestimo";"data_devolucao";"matricula_ou_siape";"nome_usuario";"tipo_vinculo_usuario"
"19757";"L000100";"";"2002/05/02 18:07:00.000000000";"2002/05/02 18:39:00.000000000";"";"Usuário de Migração";"OUTROS"
"19758";"L000100";"";"2002/06/25 19:48:00.000000000";"2002/06/25 19:53:00.000000000";"";"Usuário de Migração";"OUTROS"
"19759";"L000100";"";"2002/06/25 19:53:00.000000000";"2002/06/25 19:56:00.000000000";"";"Usuário de Migração";"OUTROS"
"19760";"L000100";"";"2002/06/25 20:23:00.000000000";"2002/06/25 20:24:00.000000000";"";"Usuário de Migração";"OUTROS"
"19761";"L000100";"";"2002/06/25 20:33:00.000000000";"2002/06/25 20:34:00.000000000";"";"Usuário de Migração";"OUTROS"
"19762";"L000100";"";"2002/06/25 20:35:00.000000000";"2002/06/25 20:35:00.000000000";"";"Usuário de Migração";"OUTROS"
"19763";"L000100";"";"2002/06/25 20:37:00.000000000";"2002/06/25 20:37:00.000000000";"";"Usuário de Migração";"OUTROS"
"19764";"L000100";"";"2002/06/25 20:41:00.000000000";"2002/06/25 20:41:00.000000000";"";"Usuário de Migração";"OUTROS"
"19765";"L000100";"";"2002/06/25 20:43:00.000000000";"2002/06/25 20:43:00.000000000";"";"Usuário de Migração";"OUTROS"
"19766";"L000100";"";"2002/06/25 21:01:00.000000000";"2002/06/25 21:01:00.000000000";"";"Usuário de Migração";"OUTROS"
"19767";"L000100";"";"2002/06/25 21:02:00.000000000";"2002/06/25 21:02:00.000000000";"";"Usuário de Migração";"OUTROS"
"19768";"L000100";"";"2002/06/25 21:03:00.000000000";"2002/06/25 21:03:00.000000000";"";"Usuário de Migração";"OUTROS"
"19769";"L000100";"";"2002/06/25 21:04:00.000000000";"2002/06/25 21:04:00.000000000";"";"Usuário de Migração";"OUTROS"
"19770";"L000100";"";"2002/06/25 21:08:00.000000000";"2002/06/25 21:08:00.000000000";"";"Usuário de Migração";"OUTROS"
"19771";"L000100";"";"2002/06/25 21:10:00.000000000";"2002/06/25 21:10:00.000000000";"";"Usuário de Migração";"OUTROS"
"19812";"L130000";"";"2002/05/28 16:40:00.000000000";"2002/05/28 16:40:00.000000000";"";"Usuário de Migração";"OUTROS"
"19813";"L130000";"";"2002/05/28 18:45:00.000000000";"2002/05/28 18:52:00.000000000";"";"Usuário de Migração";"OUTROS"
"19834";"L170222";"";"2002/02/15 10:31:00.000000000";"2002/02/15 10:32:00.000000000";"";"Usuário de Migração";"OUTROS"
"19837";"L000500";"";"2002/05/02 18:07:00.000000000";"2002/11/29 20:35:00.000000000";"";"Usuário de Migração";"OUTROS"
